num,API num,API,DOSE,Microcrystalline Cellulose (Avicel),Mannitol,Sodium croscarmellose,Aspartame,Hydroxypropyl Cellulose (HPC),Magnesium Stearate,Gum,Chitosan,Sodium saccharin,Talc,Sodium lauryl sulfate(SLS),Sodium stearyl fumarate ,Polyvinylpyrrolidone (Crospovidone),Sodium starch glycolate,polyvinyl acetate,Lactose,Colloidal silicon dioxide (Aerosil),Citric acid,Menthol,B-cyclodextrin,Stevia leaf Powder ,Clove oil ,Starch,sodium bicarbonate (NaHCO3),Plantago ovata,Pharmaburst,parteck,Polyethylene Glycol,Eudragit EPO,Precirol,acesulfame potassium,Polacrilin Potassium,Acryflow-L,Indion,Lubritose,Sucralose,Silicon dioxide,Neotame,Sucrose,Ocimum sanctum seed powder,Agar,Calcium carbonate,Sodium Saccharine ,Prosolv ODT,Cellactose,Quinoline yellow lake,Aerosol,Sodium behenate,dibasic calcium phosphate,Mucilage powder,GNSP,Ludipress,Kaolin,Methyl paraben,Camphor,CPE,Weight(mg),HARDNESS,FRIABILITY,THICKNESS (mm) (mean),Wetting time (s) (mean),Drug content (%) (mean),DISINTEGRATION_TIME,Water absorption ratio,DIAMETER(mm) (Mean),"Bulk Density
(g/cc , gm/ml , gm/cm³) (Mean)","Tapped Density
(g/cc , gm/ml , gm/cm³) (Mean)","Carr’s Compressibility Index
(%) (Mean)",Hausner Ratio (Mean),Angle of Repose (°) (Mean),Molecular Weight( g/mol),XLogP3-AA,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotational bond count,Topological surface area( A^2),Heavy atom count,Complexity,LogS
11,63-10,Aceclofenac,100,133,0,30,3,0,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,4.2,0.27,0,13,0,16,0,0,0,0,0,0,0,354.2,4.3,2,5,7,75.6,23,411,-4.76
12,63-11,Aceclofenac,100,133,0,30,3,0,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,3.9,0.22,0,15,0,16,0,0,0,0,0,0,0,354.2,4.3,2,5,7,75.6,23,411,-4.76
13,1-Mar,Furosemide,80,277.2,0,0,4,30.8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,7.65,0.2,3.3,21.7,0,13,1.41,11.8,0.35,0.43,17.5,1.21,39.3,330.74,2,3,7,5,131,21,481,-3.57
14,2-Mar,Furosemide,80,246.4,0,0,4,61.6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,4.45,0.4,3.4,12,0,15,1.96,11.8,0.37,0.49,24.1,1.31,41.9,330.74,2,3,7,5,131,21,481,-3.57
15,290-1,Etoricoxib,60,62,0,0,1,0,2,0,0,0,3,0,0,6,0,0,62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3.5,0.75,3.26,48,98.2,32,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
16,290-2,Etoricoxib,60,62,0,6,1,0,2,0,0,0,3,0,0,0,0,0,62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,4,0.59,3.28,42,100.1,30,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
17,290-3,Etoricoxib,60,62,0,0,1,0,2,0,0,0,3,0,0,0,6,0,62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3.5,0.48,3.18,45,99.4,34,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
18,290-4,Etoricoxib,60,62,5.4,0,1,0,2,0,0,0,3,0,0,0.3,0,0.3,62,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3.5,0.49,3.24,56,97.3,46,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
19,290-5,Etoricoxib,60,59,0,0,1,0,2,0,0,0,3,0,0,12,0,0,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3.5,0.45,3.24,35,100.1,23,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
20,290-6,Etoricoxib,60,59,0,12,1,0,2,0,0,0,3,0,0,0,0,0,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3,0.53,3.27,32,99.9,21,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
21,290-7,Etoricoxib,60,59,0,0,1,0,2,0,0,0,3,0,0,0,12,0,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,4,0.63,3.28,38,99.2,26,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
22,290-8,Etoricoxib,60,59,10.8,0,1,0,2,0,0,0,3,0,0,0.6,0,0.6,59,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3.5,0.55,3.17,49,98.1,39,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
23,290-9,Etoricoxib,60,56,0,0,1,0,2,0,0,0,3,0,0,18,0,0,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3.5,0.64,3.26,22,99.7,19,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
24,290-10,Etoricoxib,60,56,0,18,1,0,2,0,0,0,3,0,0,0,0,0,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3,0.57,3.32,20,99.9,15,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
25,290-11,Etoricoxib,60,56,0,0,1,0,2,0,0,0,3,0,0,0,18,0,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3.5,0.51,3.31,28,100.1,20,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
26,290-12,Etoricoxib,60,56,16.2,0,1,0,2,0,0,0,3,0,0,0.9,0,0.9,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3,0.64,3.16,42,97.2,20,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
27,290-13,Etoricoxib,60,53,0,0,1,0,2,0,0,0,3,0,0,24,0,0,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3,0.54,3.16,21,100.1,14,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
28,290-14,Etoricoxib,60,53,0,24,1,0,2,0,0,0,3,0,0,0,0,0,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3.5,0.65,3.18,18,99.6,9,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
29,290-15,Etoricoxib,60,53,0,0,1,0,2,0,0,0,3,0,0,0,24,0,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,4,0.54,3.22,25,99.3,16,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
30,290-16,Etoricoxib,60,53,21.6,0,1,0,2,0,0,0,3,0,0,1.2,0,1.2,53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3.5,0.63,3.19,36,98.7,22,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
31,290-17,Etoricoxib,60,51,0,18,1,0,2,0,0,0,3,0,0,0,0,0,51,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3,0.54,3.26,23,0,22,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
32,290-18,Etoricoxib,60,51,0,18,1,0,2,0,0,0,3,0,0,0,0,0,51,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3.5,0.65,3.32,25,0,18,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
33,290-19,Etoricoxib,60,51,0,18,1,0,2,0,0,0,3,0,0,0,0,0,51,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,4,0.54,3.31,24,0,19,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
34,290-20,Etoricoxib,60,51,0,18,1,0,2,0,0,0,3,0,0,0,0,0,51,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3.5,0.63,3.16,26,0,16,0,0,0,0,0,0,0,358.8,3.3,0,4,3,68.3,24,514,-5.68
35,48-1,Cetirizine Hydrochloride,5,0,178,0,0,0,3,0,0,5,3,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2.2,0.8,0,0,0,80,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
36,48-2,Cetirizine Hydrochloride,5,0,176,0,0,0,3,0,0,5,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.6,0.8,0,0,0,59,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
37,48-3,Cetirizine Hydrochloride,5,0,172,0,0,0,3,0,0,5,3,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.5,0.1,0,0,0,40,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
38,48-4,Cetirizine Hydrochloride,5,0,168,0,0,0,3,0,0,5,3,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.5,0.3,0,0,0,48,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
39,48-5,Cetirizine Hydrochloride,5,0,164,0,0,0,3,0,0,5,3,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2,0.1,0,0,0,138,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
40,48-6,Cetirizine Hydrochloride,5,0,160,0,0,0,3,0,0,5,3,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.8,0.1,0,0,0,95,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
41,48-7,Cetirizine Hydrochloride,5,0,176,0,0,0,0,0,0,5,2,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2.2,0.1,0,0,0,60,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
42,48-8,Cetirizine Hydrochloride,5,0,174,0,0,0,0,0,0,5,2,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.8,0.2,0,0,0,49,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
43,48-9,Cetirizine Hydrochloride,5,0,172,0,0,0,0,0,0,5,2,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2,0.5,0,0,0,69,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
44,48-10,Cetirizine Hydrochloride,5,0,170,0,0,0,0,0,0,5,2,0,2,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,3.2,0.3,0,0,0,83,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
45,48-11,Cetirizine Hydrochloride,5,0,168,0,0,0,0,0,0,5,2,0,2,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.6,0.3,0,0,0,90,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
46,48-12,Cetirizine Hydrochloride,5,0,166,0,0,0,0,0,0,5,2,0,2,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2.5,0.8,0,0,0,120,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
47,48-13,Cetirizine Hydrochloride,5,0,164,0,0,0,0,0,0,5,2,0,2,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,2,0.8,0,0,0,145,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
48,48-14,Cetirizine Hydrochloride,5,2,176,0,0,0,0,0,0,5,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.5,0.1,0,0,0,37,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
49,48-15,Cetirizine Hydrochloride,5,4,174,0,0,0,0,0,0,5,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.5,0.1,0,0,0,47,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
50,48-16,Cetirizine Hydrochloride,5,6,172,0,0,0,0,0,0,5,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.5,0.2,0,0,0,62,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
51,48-17,Cetirizine Hydrochloride,5,8,170,0,0,0,0,0,0,5,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.8,0.1,0,0,0,75,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
52,48-18,Cetirizine Hydrochloride,5,10,168,0,0,0,0,0,0,5,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.5,0.1,0,0,0,82,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
53,48-19,Cetirizine Hydrochloride,5,12,166,0,0,0,0,0,0,5,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.8,0.1,0,0,0,96,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
54,48-20,Cetirizine Hydrochloride,5,14,164,0,0,0,0,0,0,5,2,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.8,0.1,0,0,0,105,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
55,48-21,Cetirizine Hydrochloride,5,2,163,0,0,0,0,0,0,8,2,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,1.5,0.5,3.65,23,93.33,35,0,0,0,0,0,0,0,461.8,2.86,3,5,8,53,29,443,-3.79
56,166-1,Aceclofenac,250,104,25,0,5,0,2,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,3.35,0.632,6.05,37,98.7,53,10.71,0,0,0,0,0,0,354.2,4.3,2,5,7,75.6,23,411,-4.76
57,166-2,Aceclofenac,250,99,25,0,5,0,2,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,3.35,0.783,6.05,35,99.12,48,7.02,0,0,0,0,0,0,354.2,4.3,2,5,7,75.6,23,411,-4.76
58,166-3,Aceclofenac,250,94,25,0,5,0,2,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,3.35,0.783,6.05,22,99.78,39,11.26,0,0,0,0,0,0,354.2,4.3,2,5,7,75.6,23,411,-4.76
59,166-4,Aceclofenac,250,104,25,5,5,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,3.35,0.679,6.05,39,97.31,59,7.28,0,0,0,0,0,0,354.2,4.3,2,5,7,75.6,23,411,-4.76
60,166-5,Aceclofenac,250,99,25,10,5,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,3.35,0.526,6.05,34,98.96,54,10.82,0,0,0,0,0,0,354.2,4.3,2,5,7,75.6,23,411,-4.76
61,166-6,Aceclofenac,250,94,25,20,5,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,3.35,0.763,6.05,31,98.33,49,10.94,0,0,0,0,0,0,354.2,4.3,2,5,7,75.6,23,411,-4.76
62,166-7,Aceclofenac,250,104,25,0,5,0,2,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,3.35,0.592,6.05,39,103.37,72,10.41,0,0,0,0,0,0,354.2,4.3,2,5,7,75.6,23,411,-4.76
63,166-8,Aceclofenac,250,99,25,0,5,0,2,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,3.35,0.697,6.05,37,98.62,60,10.75,0,0,0,0,0,0,354.2,4.3,2,5,7,75.6,23,411,-4.76
64,166-9,Aceclofenac,250,94,25,0,5,0,2,0,0,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,3.35,0.455,6.05,34,99.29,56,10.87,0,0,0,0,0,0,354.2,4.3,2,5,7,75.6,23,411,-4.76
